dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-348-1-0
the8x3_filename: 00440000
filename_extension: sbd
filename_label: sunfish-2021-348-1-0-sbd(00440000)
mission_name: regm20.mi
fileopen_time: Wed_Dec_15_16:07:00_2021
sensors_per_cycle: 28
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-348-1-0
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy 
in cc rad rad rad lat lon m volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 
NaN NaN -0.140449 1.68517 NaN NaN NaN NaN NaN NaN 502.58 NaN -0.136057 NaN NaN NaN NaN 1.84132 NaN NaN NaN 1639589465.023 50.258 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.147802 1.68515 NaN NaN NaN NaN NaN NaN 509.046 NaN -0.159216 NaN NaN NaN NaN 1.72439 NaN NaN NaN 1639589525.113 50.9046 NaN 0.0628319 NaN NaN NaN 
NaN NaN -0.147802 1.68515 NaN NaN NaN NaN NaN NaN 515.533 NaN -0.159216 NaN NaN NaN NaN 1.58301 4835.13351439008 -4912.99830020022 NaN 1639589585.148 51.5533 NaN 0.0558505 NaN NaN NaN 
NaN NaN 0.140785 1.68519 NaN NaN NaN NaN NaN NaN 522.129 NaN 0.133163 NaN NaN NaN NaN 1.46957 NaN NaN NaN 1639589645.243 52.2129 NaN 0.0610865 NaN NaN NaN 
0.240558 NaN NaN NaN -0.4538 NaN NaN NaN 15.0089 0.255323 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.446804 1639589653.25 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.178385 1.68523 NaN NaN NaN NaN NaN NaN 528.792 NaN 0.176585 NaN NaN NaN NaN 1.57254 NaN NaN NaN 1639589705.336 52.8791 NaN 0.0628319 NaN NaN NaN 
NaN NaN 0.175698 1.68524 NaN NaN NaN NaN NaN NaN 536.021 NaN 0.176585 NaN NaN NaN NaN 1.72613 NaN NaN NaN 1639589769.375 53.6021 NaN 0.0628319 NaN NaN NaN 
NaN NaN -0.0161633 1.68521 NaN NaN NaN NaN NaN NaN 542.815 NaN 0 NaN NaN NaN NaN 1.81689 NaN NaN NaN 1639589829.47 54.2815 NaN 0.0645772 NaN NaN NaN 
NaN -212.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN -219.462 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639589853.488 NaN NaN NaN 7.74884 NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.14068212641 -4912.94908032259 NaN 1639589885.562 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0866381 1.68519 NaN NaN NaN NaN NaN NaN 549.433 NaN -0.0752659 NaN NaN NaN NaN 1.80816 NaN NaN NaN 1639589889.567 54.9433 NaN 0.0593412 NaN NaN NaN 
NaN NaN -0.0798198 1.68517 NaN NaN NaN NaN NaN NaN 556.51 NaN -0.0752659 NaN NaN NaN NaN 1.70344 NaN NaN NaN 1639589953.605 55.651 NaN 0.0593412 NaN NaN NaN 
NaN NaN -0.0798198 1.68517 NaN NaN NaN NaN NaN NaN 562.844 NaN -0.0752659 NaN NaN NaN NaN 1.62665 NaN NaN NaN 1639590013.7 56.2844 NaN 0.0628319 NaN NaN NaN 
0.240558 NaN NaN NaN -0.4538 NaN NaN NaN 15.0109 0.255323 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.441568 1639590053.792 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.141049 1.6852 NaN NaN NaN NaN NaN NaN 569.681 NaN 0.118689 NaN NaN NaN NaN 1.50098 NaN NaN NaN 1639590073.804 56.9681 NaN 0.0628319 NaN NaN NaN 
NaN NaN 0.22556 1.68524 NaN NaN NaN NaN NaN NaN 576.889 NaN 0.208429 NaN NaN NaN NaN 1.55683 NaN NaN NaN 1639590137.845 57.6889 NaN 0.0628319 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.14917267906 -4912.89956903158 NaN 1639590185.93 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.217845 1.68526 NaN NaN NaN NaN NaN NaN 584.054 NaN 0.208429 NaN NaN NaN NaN 1.67552 NaN NaN NaN 1639590197.941 58.4054 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.0677075 1.68525 NaN NaN NaN NaN NaN NaN 591.262 NaN 0.0897401 NaN NaN NaN NaN 1.80991 NaN NaN NaN 1639590258.032 59.1262 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.0332291 1.68521 NaN NaN NaN NaN NaN NaN 598.295 NaN -0.0347381 NaN NaN NaN NaN 1.83085 NaN NaN NaN 1639590318.07 59.8295 NaN 0.0593412 NaN NaN NaN 
NaN NaN -0.0410694 1.68519 NaN NaN NaN NaN NaN NaN 605.853 NaN -0.0492123 NaN NaN NaN NaN 1.71391 NaN NaN NaN 1639590382.166 60.5853 NaN 0.0593412 NaN NaN NaN 
NaN NaN -0.0410694 1.68519 NaN NaN NaN NaN NaN NaN 612.842 NaN -0.0492123 NaN NaN NaN NaN 1.67028 NaN NaN NaN 1639590442.257 61.2842 NaN 0.0610865 NaN NaN NaN 
0.240558 -212.5 NaN NaN -0.4538 NaN NaN NaN 15.0067 0.256941 NaN -219.621 NaN NaN NaN NaN NaN NaN NaN NaN -0.441568 1639590454.268 NaN NaN NaN 7.73967 NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.15371342238 -4912.84609804528 NaN 1639590486.291 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0410694 1.68519 NaN NaN NaN NaN NaN NaN 619.701 NaN -0.0492123 NaN NaN NaN NaN 1.61967 NaN NaN NaN 1639590502.566 61.9701 NaN 0.0593412 NaN NaN NaN 
NaN NaN 0.192977 1.68522 NaN NaN NaN NaN NaN NaN 626.625 NaN 0.17948 NaN NaN NaN NaN 1.50273 NaN NaN NaN 1639590562.6 62.6625 NaN 0.0593412 NaN NaN NaN 
NaN NaN 0.258113 1.68526 NaN NaN NaN NaN NaN NaN 633.528 NaN 0.262457 NaN NaN NaN NaN 1.57254 NaN NaN NaN 1639590622.69 63.3528 NaN 0.0593412 NaN NaN NaN 
NaN NaN 0.267103 1.68527 NaN NaN NaN NaN NaN NaN 640.474 NaN 0.262457 NaN NaN NaN NaN 1.75231 NaN NaN NaN 1639590682.785 64.0474 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.034424 1.68524 NaN NaN NaN NaN NaN NaN 647.31 NaN 0.0376329 NaN NaN NaN NaN 1.83958 NaN NaN NaN 1639590742.82 64.731 NaN 0.0610865 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.16085005484 -4912.79422532915 NaN 1639590786.915 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0737218 1.6852 NaN NaN NaN NaN NaN NaN 654.344 NaN -0.0607917 NaN NaN NaN NaN 1.85529 NaN NaN NaN 1639590802.928 65.4344 NaN 0.0628319 NaN NaN NaN 
0.240558 NaN NaN NaN -0.4538 NaN NaN NaN 14.9998 0.255323 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.438078 1639590854.962 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.126348 1.68517 NaN NaN NaN NaN NaN NaN 661.333 NaN -0.121583 NaN NaN NaN NaN 1.79245 NaN NaN NaN 1639590863.027 66.1333 NaN 0.0593412 NaN NaN NaN 
NaN NaN -0.126154 1.68515 NaN NaN NaN NaN NaN NaN 668.301 NaN -0.121583 NaN NaN NaN NaN 1.70519 NaN NaN NaN 1639590923.061 66.8301 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.126154 1.68516 NaN NaN NaN NaN NaN NaN 675.466 NaN -0.121583 NaN NaN NaN NaN 1.59523 NaN NaN NaN 1639590983.152 67.5466 NaN 0.0593412 NaN NaN NaN 
NaN NaN 0.090756 1.68519 NaN NaN NaN NaN NaN NaN 682.849 NaN 0.0868453 NaN NaN NaN NaN 1.52018 NaN NaN NaN 1639591043.247 68.2849 NaN 0.0645772 NaN NaN NaN 
NaN -212.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN -219.644 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639591055.255 NaN NaN NaN 7.73279 NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.1679719319 -4912.74021947675 NaN 1639591087.278 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.162492 1.68523 NaN NaN NaN NaN NaN NaN 690.362 NaN 0.165006 NaN NaN NaN NaN 1.5865 NaN NaN NaN 1639591103.291 69.0362 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.166448 1.68525 NaN NaN NaN NaN NaN NaN 697.876 NaN 0.167901 NaN NaN NaN NaN 1.59174 NaN NaN NaN 1639591163.38 69.7876 NaN 0.0593412 NaN NaN NaN 
NaN NaN 0.226494 1.68528 NaN NaN NaN NaN NaN NaN 705.368 NaN 0.214218 NaN NaN NaN NaN 1.60221 NaN NaN NaN 1639591223.475 70.5368 NaN 0.0610865 NaN NaN NaN 
0.240558 NaN NaN NaN -0.4538 NaN NaN NaN 15.011 0.255323 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.436332 1639591255.496 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.108628 1.68528 NaN NaN NaN NaN NaN NaN 712.97 NaN 0.214218 NaN NaN NaN NaN 1.7942 NaN NaN NaN 1639591283.516 71.297 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.0862306 1.68523 NaN NaN NaN NaN NaN NaN 720.636 NaN -0.0752659 NaN NaN NaN NaN 1.93732 NaN NaN NaN 1639591343.608 72.0637 NaN 0.0663225 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.1741305424 -4912.68206658933 NaN 1639591387.637 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.151299 1.68518 NaN NaN NaN NaN NaN NaN 728.281 NaN -0.162111 NaN NaN NaN NaN 1.82038 NaN NaN NaN 1639591403.72 72.8281 NaN 0.0541052 NaN NaN NaN 
NaN NaN 0.0152726 1.68517 NaN NaN NaN NaN NaN NaN 736.276 NaN -0.0144742 NaN NaN NaN NaN 1.56381 NaN NaN NaN 1639591467.761 73.6276 NaN 0.0628319 NaN NaN NaN 
NaN NaN 0.110332 1.68521 NaN NaN NaN NaN NaN NaN 743.571 NaN 0.0955298 NaN NaN NaN NaN 1.52891 NaN NaN NaN 1639591527.852 74.3571 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.222331 1.68525 NaN NaN NaN NaN NaN NaN 751.063 NaN 0.225798 NaN NaN NaN NaN 1.49749 NaN NaN NaN 1639591587.947 75.1063 NaN 0.0558505 NaN NaN NaN 
NaN NaN 0.241106 1.68529 NaN NaN NaN NaN NaN NaN 758.665 NaN 0.248956 NaN NaN NaN NaN 1.60745 NaN NaN NaN 1639591651.988 75.8665 NaN 0.0575959 NaN NaN NaN 
0.240558 -212.5 NaN NaN -0.4538 NaN NaN NaN 15.0088 0.256941 NaN -219.576 NaN NaN NaN NaN NaN NaN NaN NaN -0.424115 1639591655.994 NaN NaN NaN 7.72362 NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.18445151587 -4912.6270766526 NaN 1639591688.066 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.241106 1.68529 NaN NaN NaN NaN NaN NaN 765.589 NaN 0.246062 NaN NaN NaN NaN 1.78198 NaN NaN NaN 1639591712.083 76.5589 NaN 0.0593412 NaN NaN NaN 
NaN NaN -0.0550416 1.68525 NaN NaN NaN NaN NaN NaN 772.775 NaN -0.0260536 NaN NaN NaN NaN 1.91463 NaN NaN NaN 1639591772.178 77.2775 NaN 0.0645772 NaN NaN NaN 
NaN NaN -0.154271 1.68519 NaN NaN NaN NaN NaN NaN 779.852 NaN -0.162111 NaN NaN NaN NaN 1.87623 NaN NaN NaN 1639591832.217 77.9852 NaN 0.0541052 NaN NaN NaN 
NaN NaN -0.147979 1.68516 NaN NaN NaN NaN NaN NaN 787.17 NaN -0.162111 NaN NaN NaN NaN 1.74533 NaN NaN NaN 1639591896.31 78.717 NaN 0.0558505 NaN NaN NaN 
NaN NaN -0.147979 1.68516 NaN NaN NaN NaN NaN NaN 794.028 NaN -0.162111 NaN NaN NaN NaN 1.67377 NaN NaN NaN 1639591956.406 79.4028 NaN 0.0593412 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.187144268 -4912.57282912348 NaN 1639591988.428 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0110352 1.68517 NaN NaN NaN NaN NaN NaN 800.843 NaN -0.0115794 NaN NaN NaN NaN 1.53065 NaN NaN NaN 1639592016.501 80.0843 NaN 0.0575959 NaN NaN NaN 
0.240558 NaN NaN NaN -0.4538 NaN NaN NaN 14.9989 0.255323 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.431096 1639592056.524 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.169303 1.68522 NaN NaN NaN NaN NaN NaN 807.636 NaN 0.153427 NaN NaN NaN NaN 1.4748 NaN NaN NaN 1639592076.54 80.7636 NaN 0.0593412 NaN NaN NaN 
NaN NaN 0.219095 1.68526 NaN NaN NaN NaN NaN NaN 814.298 NaN 0.220008 NaN NaN NaN NaN 1.55858 NaN NaN NaN 1639592136.648 81.4298 NaN 0.0628319 NaN NaN NaN 
NaN NaN 0.212237 1.68527 NaN NaN NaN NaN NaN NaN 820.786 NaN 0.220008 NaN NaN NaN NaN 1.74707 NaN NaN NaN 1639592196.738 82.0786 NaN 0.0593412 NaN NaN NaN 
NaN -212.5 -0.0168808 1.68524 NaN NaN NaN NaN NaN NaN 827.12 -219.576 0.00578968 NaN NaN NaN NaN 1.84656 NaN NaN NaN 1639592256.773 82.712 NaN 0.0610865 7.71347 NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.19520317751 -4912.52291737049 NaN 1639592288.851 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0359383 1.68521 NaN NaN NaN NaN NaN NaN 833.301 NaN -0.0463175 NaN NaN NaN NaN 1.74882 NaN NaN NaN 1639592316.87 83.3301 NaN 0.0593412 NaN NaN NaN 
NaN NaN -0.0359383 1.68521 NaN NaN NaN NaN NaN NaN 839.483 NaN -0.0463175 NaN NaN NaN NaN 1.68773 NaN NaN NaN 1639592376.959 83.9483 NaN 0.0628319 NaN NaN NaN 
NaN NaN -0.0359383 1.68521 NaN NaN NaN NaN NaN NaN 845.643 NaN -0.0463175 NaN NaN NaN NaN 1.61443 NaN NaN NaN 1639592436.995 84.5643 NaN 0.0575959 NaN NaN NaN 
0.240558 NaN NaN NaN -0.4538 NaN NaN NaN 14.9996 0.255323 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.427606 1639592457.01 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.145316 1.68523 NaN NaN NaN NaN NaN NaN 851.759 NaN 0.124478 NaN NaN NaN NaN 1.55509 NaN NaN NaN 1639592497.477 85.1759 NaN 0.0541052 NaN NaN NaN 
NaN NaN 0.221124 1.68526 NaN NaN NaN NaN NaN NaN 857.831 NaN 0.234482 NaN NaN NaN NaN 1.60745 NaN NaN NaN 1639592557.568 85.7831 NaN 0.0610865 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.20248905352 -4912.47584292114 NaN 1639592589.588 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0960304 1.68526 NaN NaN NaN NaN NaN NaN 863.969 NaN 0.234482 NaN NaN NaN NaN 1.78024 NaN NaN NaN 1639592617.608 86.3969 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.00427926 1.68523 NaN NaN NaN NaN NaN NaN 870.063 NaN 0.00578968 NaN NaN NaN NaN 1.79769 NaN NaN NaN 1639592677.704 87.0063 NaN 0.0593412 NaN NaN NaN 
NaN NaN 0.00510577 1.68523 NaN NaN NaN NaN NaN NaN 876.725 NaN 0.00578968 NaN NaN NaN NaN 1.66853 NaN NaN NaN 1639592733.791 87.6725 NaN 0.0593412 NaN NaN NaN 
NaN NaN 0.00510577 1.68524 NaN NaN NaN NaN NaN NaN 882.579 NaN 0.00578968 NaN NaN NaN NaN 1.58825 NaN NaN NaN 1639592804.993 88.2579 NaN 0.0610865 NaN NaN NaN 
0.240558 -212.5 NaN NaN -0.4538 NaN NaN NaN 15.0059 0.255323 NaN -219.689 NaN NaN NaN NaN NaN NaN NaN NaN -0.42237 1639592861.099 NaN NaN NaN 7.70299 NaN NaN 
NaN NaN 0.247058 1.68526 NaN NaN NaN NaN NaN NaN 888.476 NaN 0.222903 NaN NaN NaN NaN 1.50971 NaN NaN NaN 1639592865.105 88.8476 NaN 0.0593412 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.20873226617 -4912.4294291718 NaN 1639592893.123 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.244979 1.68528 NaN NaN NaN NaN NaN NaN 894.199 NaN 0.246062 NaN NaN NaN NaN 1.71042 NaN NaN NaN 1639592925.197 89.4199 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.0193416 1.68526 NaN NaN NaN NaN NaN NaN 900.162 NaN 0.0318433 NaN NaN NaN NaN 1.86227 NaN NaN NaN 1639592989.239 90.0162 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.0437014 1.68523 NaN NaN NaN NaN NaN NaN 905.71 NaN -0.0318433 NaN NaN NaN NaN 1.83085 NaN NaN NaN 1639593049.334 90.571 NaN 0.0558505 NaN NaN NaN 
NaN NaN -0.0754198 1.68521 NaN NaN NaN NaN NaN NaN 911.062 NaN -0.0810556 NaN NaN NaN NaN 1.75929 NaN NaN NaN 1639593109.426 91.1062 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.0754198 1.6852 NaN NaN NaN NaN NaN NaN 917.003 NaN -0.0810556 NaN NaN NaN NaN 1.68599 NaN NaN NaN 1639593173.466 91.7003 NaN 0.0593412 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.21175715364 -4912.38583098037 NaN 1639593193.721 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0754198 1.68521 NaN NaN NaN NaN NaN NaN 922.376 NaN -0.0810556 NaN NaN NaN NaN 1.60745 NaN NaN NaN 1639593233.747 92.2376 NaN 0.0575959 NaN NaN NaN 
0.240558 NaN NaN NaN -0.4538 NaN NaN NaN 15.0072 0.256941 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.424115 1639593261.766 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0981676 1.68523 NaN NaN NaN NaN NaN NaN 927.837 NaN 0.101319 NaN NaN NaN NaN 1.59872 NaN NaN NaN 1639593293.841 92.7837 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.161053 1.68524 NaN NaN NaN NaN NaN NaN 933.32 NaN 0.150532 NaN NaN NaN NaN 1.54811 NaN NaN NaN 1639593357.882 93.3319 NaN 0.0558505 NaN NaN NaN 
NaN NaN 0.176893 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639593417.977 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.68526 NaN NaN NaN NaN NaN NaN 939.13 NaN 0.17369 NaN NaN NaN NaN 1.63363 NaN NaN NaN 1639593421.984 93.913 NaN 0.0575959 NaN NaN NaN 
NaN -212.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN -219.598 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639593462.059 NaN NaN NaN 7.69873 NaN NaN 
NaN NaN 0.176893 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639593478.071 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.68526 NaN NaN NaN NaN NaN NaN 944.612 NaN 0.17369 NaN NaN NaN NaN 1.76627 NaN NaN NaN 1639593482.077 94.4612 NaN 0.0575959 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.21862653374 -4912.34454685634 NaN 1639593494.085 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0154805 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639593538.115 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.68524 NaN NaN NaN NaN NaN NaN 949.898 NaN -0.00578968 NaN NaN NaN NaN 1.76802 NaN NaN NaN 1639593542.19 94.9898 NaN 0.0558505 NaN NaN NaN 
NaN NaN -0.0114961 1.68524 NaN NaN NaN NaN NaN NaN 955.14 NaN -0.00578968 NaN NaN NaN NaN 1.65283 NaN NaN NaN 1639593602.223 95.514 NaN 0.0558505 NaN NaN NaN 
0.240558 NaN 0.159813 1.68525 -0.4538 NaN NaN NaN 14.9964 0.255323 960.339 NaN 0.153427 NaN NaN NaN NaN 1.5708 NaN NaN -0.418879 1639593662.314 96.0339 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.171172 1.68527 NaN NaN NaN NaN NaN NaN 965.625 NaN 0.17948 NaN NaN NaN NaN 1.64585 NaN NaN NaN 1639593722.409 96.5625 NaN 0.0558505 NaN NaN NaN 
NaN NaN 0.171172 1.68527 NaN NaN NaN NaN NaN NaN 970.867 NaN 0.17948 NaN NaN NaN NaN 1.71566 NaN NaN NaN 1639593782.444 97.0867 NaN 0.0575959 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.22424088326 -4912.30323566583 NaN 1639593794.455 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0136771 1.68526 NaN NaN NaN NaN NaN NaN 976.306 NaN 0.0144742 NaN NaN NaN NaN 1.79245 NaN NaN NaN 1639593842.538 97.6306 NaN 0.0628319 NaN NaN NaN 
NaN NaN -0.050054 1.68523 NaN NaN NaN NaN NaN NaN 981.789 NaN -0.0492123 NaN NaN NaN NaN 1.79245 NaN NaN NaN 1639593902.631 98.1789 NaN 0.0593412 NaN NaN NaN 
NaN NaN -0.0739479 1.68522 NaN NaN NaN NaN NaN NaN 987.118 NaN -0.0752659 NaN NaN NaN NaN 1.68773 NaN NaN NaN 1639593962.667 98.7118 NaN 0.0558505 NaN NaN NaN 
NaN NaN 0.0742829 1.68523 NaN NaN NaN NaN NaN NaN 992.644 NaN 0.0694762 NaN NaN NaN NaN 1.58127 NaN NaN NaN 1639594022.758 99.2644 NaN 0.0575959 NaN NaN NaN 
0.240558 -212.5 NaN NaN -0.4538 NaN NaN NaN 14.9944 0.255323 NaN -219.576 NaN NaN NaN NaN NaN NaN NaN NaN -0.417134 1639594062.785 NaN NaN NaN 7.68793 NaN NaN 
NaN NaN 0.144273 1.68525 NaN NaN NaN NaN NaN NaN 997.996 NaN 0.112899 NaN NaN NaN NaN 1.54462 NaN NaN NaN 1639594082.857 99.7996 NaN 0.0558505 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.22928859711 -4912.26077802153 NaN 1639594094.864 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.250023 1.68528 NaN NaN NaN NaN NaN NaN 1002.15 NaN 0.248956 NaN NaN NaN NaN 1.53589 NaN NaN NaN 1639594142.899 100.215 NaN 0.0645772 NaN NaN NaN 
NaN NaN 0.263836 1.68528 NaN NaN NaN NaN NaN NaN 998.87 NaN 0.271793 NaN NaN NaN NaN 1.75929 NaN NaN NaN 1639594203.185 99.887 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.0536321 1.68523 NaN NaN NaN NaN NaN NaN 987.73 NaN -0.0347381 NaN NaN NaN NaN 1.96 NaN NaN NaN 1639594271.205 98.773 NaN 0.0680678 NaN NaN NaN 
NaN NaN -0.0586664 1.68507 NaN NaN NaN NaN NaN NaN 969.491 NaN -0.0578968 NaN NaN NaN NaN 1.92684 NaN NaN NaN 1639594361.222 96.9491 NaN 0.0663225 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.2280845108 -4912.18272027614 NaN 1639594421.234 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0608998 1.68491 NaN NaN NaN NaN NaN NaN 951.362 NaN -0.0578968 NaN NaN NaN NaN 1.93732 NaN NaN NaN 1639594451.241 95.1362 NaN 0.0715585 NaN NaN NaN 
-0.200913 NaN NaN NaN 0.4538 NaN NaN NaN 14.2044 -0.160615 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.429351 1639594481.247 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0576937 1.68481 NaN NaN NaN NaN NaN NaN 939.545 NaN -0.0578968 NaN NaN NaN NaN 1.93033 NaN NaN NaN 1639594511.252 93.9545 NaN 0.0698132 NaN NaN NaN 
NaN NaN -0.0563803 1.68465 NaN NaN NaN NaN NaN NaN 921.415 NaN -0.0578968 NaN NaN NaN NaN 1.91637 NaN NaN NaN 1639594601.27 92.1415 NaN 0.0680678 NaN NaN NaN 
NaN 187.5 -0.0483257 1.68451 NaN NaN NaN NaN NaN NaN 902.914 187.168 -0.0578968 NaN NaN NaN NaN 1.89717 NaN NaN NaN 1639594691.288 90.2914 NaN 0.0715585 7.91717 NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.2248950465 -4912.07644586224 NaN 1639594751.299 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0551065 1.68437 NaN NaN NaN NaN NaN NaN 884.872 NaN -0.0578968 NaN NaN NaN NaN 1.9059 NaN NaN NaN 1639594781.305 88.4872 NaN 0.0698132 NaN NaN NaN 
NaN NaN -0.0529002 1.68424 NaN NaN NaN NaN NaN NaN 866.83 NaN -0.0578968 NaN NaN NaN NaN 1.87274 NaN NaN NaN 1639594871.323 86.683 NaN 0.0698132 NaN NaN NaN 
-0.200913 NaN NaN NaN 0.4538 NaN NaN NaN 14.6854 -0.162234 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.427606 1639594901.329 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0474079 1.68413 NaN NaN NaN NaN NaN NaN 849.4 NaN -0.0578968 NaN NaN NaN NaN 1.87797 NaN NaN NaN 1639594961.34 84.94 NaN 0.0733038 NaN NaN NaN 
