dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-348-1-0
the8x3_filename: 00440000
filename_extension: sbd
filename_label: sunfish-2021-348-1-0-sbd(00440000)
mission_name: regm20.mi
fileopen_time: Wed_Dec_15_16:07:00_2021
sensors_per_cycle: 28
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-348-1-0
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy 
in cc rad rad rad lat lon m volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 
NaN NaN 0.064737 1.68474 NaN NaN NaN NaN NaN NaN 126.71 NaN 0.0578968 NaN NaN NaN NaN 1.61967 NaN NaN NaN 1639585945.544 12.671 NaN 0.0663225 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.04620848024 -4913.59020374356 NaN 1639585977.619 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.064737 1.68475 NaN NaN NaN NaN NaN NaN 133.11 NaN 0.0578968 NaN NaN NaN NaN 1.64585 NaN NaN NaN 1639586005.639 13.311 NaN 0.0680678 NaN NaN NaN 
0.142445 NaN NaN NaN -0.4538 NaN NaN NaN 14.9937 0.117756 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.436332 1639586045.914 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.064737 1.68476 NaN NaN NaN NaN NaN NaN 140.165 NaN 0.0578968 NaN NaN NaN NaN 1.68599 NaN NaN NaN 1639586065.925 14.0165 NaN 0.0593412 NaN NaN NaN 
NaN NaN -0.0705147 1.68475 NaN NaN NaN NaN NaN NaN 147.613 NaN -0.0636865 NaN NaN NaN NaN 1.81689 NaN NaN NaN 1639586125.965 14.7613 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.0969015 1.68473 NaN NaN NaN NaN NaN NaN 155.346 NaN -0.0897401 NaN NaN NaN NaN 1.7558 NaN NaN NaN 1639586190.058 15.5346 NaN 0.0663225 NaN NaN NaN 
NaN -212.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN -218.148 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639586246.151 NaN NaN NaN 7.82941 NaN NaN 
NaN NaN -0.0969015 1.68472 NaN NaN NaN NaN NaN NaN 162.423 NaN -0.0897401 NaN NaN NaN NaN 1.65632 NaN NaN NaN 1639586250.157 16.2423 NaN 0.0663225 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.05245348613 -4913.5342748784 NaN 1639586278.173 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0657094 1.68474 NaN NaN NaN NaN NaN NaN 169.522 NaN 0.0492123 NaN NaN NaN NaN 1.56905 NaN NaN NaN 1639586310.307 16.9522 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.247247 1.68477 NaN NaN NaN NaN NaN NaN 176.184 NaN 0.217113 NaN NaN NaN NaN 1.42768 NaN NaN NaN 1639586370.341 17.6184 NaN 0.0645772 NaN NaN NaN 
NaN NaN 0.385033 1.68483 NaN NaN NaN NaN NaN NaN 182.562 NaN 0.381494 NaN NaN NaN NaN 1.48702 NaN NaN NaN 1639586430.436 18.2562 NaN 0.0663225 NaN NaN NaN 
0.142445 NaN NaN NaN -0.4538 NaN NaN NaN 14.9911 0.117756 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.429351 1639586446.449 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.196663 1.68484 NaN NaN NaN NaN NaN NaN 188.525 NaN 0.211323 NaN NaN NaN NaN 1.81689 NaN NaN NaN 1639586490.531 18.8525 NaN 0.0628319 NaN NaN NaN 
NaN NaN 0.0597776 1.68481 NaN NaN NaN NaN NaN NaN 194.313 NaN 0.0839504 NaN NaN NaN NaN 1.8675 NaN NaN NaN 1639586550.566 19.4313 NaN 0.0628319 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.06054942968 -4913.4861441867 NaN 1639586579.026 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.125063 1.68477 NaN NaN NaN NaN NaN NaN 200.102 NaN -0.0984246 NaN NaN NaN NaN 1.96524 NaN NaN NaN 1639586611.044 20.0102 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.242864 1.68472 NaN NaN NaN NaN NaN NaN 205.562 NaN -0.225798 NaN NaN NaN NaN 1.91288 NaN NaN NaN 1639586671.135 20.5562 NaN 0.0628319 NaN NaN NaN 
NaN NaN -0.230719 1.68469 NaN NaN NaN NaN NaN NaN 211.809 NaN -0.248956 NaN NaN NaN NaN 1.72264 NaN NaN NaN 1639586735.174 21.1809 NaN 0.0575959 NaN NaN NaN 
NaN NaN -0.0815994 1.6847 NaN NaN NaN NaN NaN NaN 217.641 NaN -0.0810556 NaN NaN NaN NaN 1.57778 NaN NaN NaN 1639586795.283 21.7641 NaN 0.0610865 NaN NaN NaN 
0.142445 -212.5 NaN NaN -0.4538 NaN NaN NaN 15.0012 0.117756 NaN -218.692 NaN NaN NaN NaN NaN NaN NaN NaN -0.42237 1639586847.37 NaN NaN NaN 7.81238 NaN NaN 
NaN NaN 0.00912454 1.68472 NaN NaN NaN NaN NaN NaN 223.539 NaN 0.0115794 NaN NaN NaN NaN 1.56731 NaN NaN NaN 1639586855.374 22.3539 NaN 0.0645772 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.06449212734 -4913.44171109642 NaN 1639586879.391 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.143036 1.68476 NaN NaN NaN NaN NaN NaN 229.065 NaN 0.138952 NaN NaN NaN NaN 1.47131 NaN NaN NaN 1639586915.416 22.9065 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.232732 1.6848 NaN NaN NaN NaN NaN NaN 235.072 NaN 0.234482 NaN NaN NaN NaN 1.53589 NaN NaN NaN 1639586975.511 23.5072 NaN 0.0628319 NaN NaN NaN 
NaN NaN 0.270315 1.68482 NaN NaN NaN NaN NaN NaN 240.816 NaN 0.257641 NaN NaN NaN NaN 1.59523 NaN NaN NaN 1639587035.603 24.0816 NaN 0.0628319 NaN NaN NaN 
NaN NaN 0.267425 1.68482 NaN NaN NaN NaN NaN NaN 246.976 NaN 0.257641 NaN NaN NaN NaN 1.77325 NaN NaN NaN 1639587099.644 24.6976 NaN 0.0645772 NaN NaN NaN 
NaN NaN -0.0466376 1.68479 NaN NaN NaN NaN NaN NaN 253.027 NaN -0.0260536 NaN NaN NaN NaN 1.92684 NaN NaN NaN 1639587159.737 25.3027 NaN 0.0610865 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.07107272775 -4913.39598031815 NaN 1639587179.752 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.282067 1.68472 NaN NaN NaN NaN NaN NaN 259.143 NaN -0.271793 NaN NaN NaN NaN 2.03854 NaN NaN NaN 1639587219.832 25.9143 NaN 0.0593412 NaN NaN NaN 
0.142445 NaN NaN NaN -0.4538 NaN NaN NaN 15.0047 0.117756 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.417134 1639587247.851 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.331087 1.68466 NaN NaN NaN NaN NaN NaN 265.63 NaN -0.34765 NaN NaN NaN NaN 1.81863 NaN NaN NaN 1639587279.874 26.563 NaN 0.0663225 NaN NaN NaN 
NaN NaN -0.277302 1.68466 NaN NaN NaN NaN NaN NaN 272.03 NaN -0.277628 NaN NaN NaN NaN 1.61268 NaN NaN NaN 1639587343.97 27.203 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.0362563 1.68469 NaN NaN NaN NaN NaN NaN 278.211 NaN 0.0115794 NaN NaN NaN NaN 1.42419 NaN NaN NaN 1639587404.076 27.8211 NaN 0.0628319 NaN NaN NaN 
NaN -212.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN -218.964 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639587448.105 NaN NaN NaN 7.79666 NaN NaN 
NaN NaN 0.355654 1.68477 NaN NaN NaN NaN NaN NaN 284.393 NaN 0.334813 NaN NaN NaN NaN 1.21824 NaN NaN NaN 1639587464.174 28.4393 NaN 0.0575959 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.07814847513 -4913.34872163794 NaN 1639587480.183 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.167694 1.68484 NaN NaN NaN NaN NaN NaN 290.727 NaN 0.18527 NaN NaN NaN NaN 1.44688 NaN NaN NaN 1639587524.212 29.0727 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.189722 1.6849 NaN NaN NaN NaN NaN NaN 297.149 NaN 0.156321 NaN NaN NaN NaN 1.35961 NaN NaN NaN 1639587584.303 29.7149 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.446703 1.685 NaN NaN NaN NaN NaN NaN 303.527 NaN 0.420006 NaN NaN NaN NaN 1.07512 NaN NaN NaN 1639587644.398 30.3527 NaN 0.0558505 NaN NaN NaN 
0.142445 NaN NaN NaN -0.4538 NaN NaN NaN 14.9991 0.117756 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.410152 1639587648.4 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.243664 1.68511 NaN NaN NaN NaN NaN NaN 309.883 NaN 0.27296 NaN NaN NaN NaN 1.34914 NaN NaN NaN 1639587704.432 30.9883 NaN 0.0610865 NaN NaN NaN 
