dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-26
the8x3_filename: 00410026
filename_extension: sbd
filename_label: sunfish-2021-335-1-26-sbd(00410026)
mission_name: regm20.mi
fileopen_time: Sat_Dec__4_11:34:49_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-26
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 64.2879 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638618303.949 6.42879 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0737013 0.759186 NaN NaN NaN NaN NaN NaN NaN NaN 70.9268 NaN 0.0752659 NaN NaN NaN NaN 0.612611 NaN NaN NaN 1638618363.96 7.09268 NaN 0.020944 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 77.7842 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638618423.971 7.77842 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0435508 0.759732 -0.3491 NaN NaN NaN NaN NaN NaN NaN 81.1911 NaN 0.0492123 NaN NaN NaN NaN 0.813323 NaN NaN -0.321141 1638618453.978 8.11911 NaN 0.0261799 7.87591 NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 87.6772 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638618513.989 8.76772 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0601041 0.758921 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.055002 NaN NaN NaN NaN 0.928515 NaN NaN NaN 1638618543.995 NaN NaN 0.00698132 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 93.8575 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638618574 9.38575 NaN NaN NaN NaN NaN NaN 
-0.19435 -212.5 NaN NaN NaN NaN NaN NaN 14.8746 -0.1768 NaN NaN NaN -204.663 NaN NaN NaN NaN NaN NaN 4812.44785330511 -5303.98486131862 NaN 1638618604.006 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0279834 0.758641 NaN NaN NaN NaN NaN NaN NaN NaN 99.754 NaN -0.0347381 NaN NaN NaN NaN 0.759218 NaN NaN NaN 1638618634.012 9.9754 NaN 0.020944 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 106.306 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638618694.024 10.6306 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0279834 0.758636 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0376329 NaN NaN NaN NaN 0.68766 NaN NaN NaN 1638618724.03 NaN NaN 0.010472 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 112.966 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638618754.036 11.2966 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.31765 1638618784.041 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0888803 0.759436 NaN NaN NaN NaN NaN NaN NaN NaN 118.95 NaN 0.0607917 NaN NaN NaN NaN 0.411898 NaN NaN NaN 1638618814.047 11.895 NaN 0.015708 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 124.475 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638618874.058 12.4475 NaN NaN NaN NaN NaN NaN 
