dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-12
the8x3_filename: 00410012
filename_extension: sbd
filename_label: sunfish-2021-335-1-12-sbd(00410012)
mission_name: regm20.mi
fileopen_time: Fri_Dec__3_11:42:02_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-12
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN 0.0771616 1.32737 NaN NaN NaN NaN NaN NaN NaN NaN 78.1064 NaN 0.0578968 NaN NaN NaN NaN 1.00356 NaN NaN NaN 1638532337.593 7.81064 NaN -0.00174533 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 85.7527 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638532397.605 8.57527 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0719391 1.32874 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0376329 NaN NaN NaN NaN 1.02625 NaN NaN NaN 1638532427.611 NaN NaN 0.00523599 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 93.3989 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638532457.617 9.33989 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.319395 1638532487.623 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0399356 1.32992 NaN NaN NaN NaN NaN NaN NaN NaN 101.089 NaN 0.0492123 NaN NaN NaN NaN 1.24617 NaN NaN NaN 1638532517.628 10.1089 NaN 0.00349066 NaN NaN NaN 4 
-0.432197 -287.5 NaN NaN NaN NaN NaN NaN 14.8669 -0.416328 NaN NaN 108.735 -277.572 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638532577.64 10.8735 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0260895 1.33028 NaN NaN NaN NaN NaN NaN NaN NaN 112.58 NaN 0.0260536 NaN NaN NaN NaN 1.33169 4805.07057979915 -5318.80187628211 NaN 1638532607.646 11.258 NaN -0.00174533 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 120.248 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638532667.657 12.0248 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0260895 1.33023 NaN NaN NaN NaN NaN NaN NaN NaN 123.984 NaN 0.0260536 NaN NaN NaN NaN 1.35438 NaN NaN NaN 1638532697.662 12.3984 NaN 0.00523599 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 128.026 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638532731.666 12.8026 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0260895 1.33026 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0260536 NaN NaN NaN NaN 1.28805 NaN NaN NaN 1638532759.686 NaN NaN 0.00174533 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 131.761 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638532763.693 13.1761 NaN NaN NaN NaN NaN NaN 
