dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-2-0
the8x3_filename: 00260000
filename_extension: sbd
filename_label: sunfish-2021-291-2-0-sbd(00260000)
mission_name: regm20.mi
fileopen_time: Tue_Oct_19_14:04:08_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-2-0
c_ballast_pumped c_battpos c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_ballast_pumped m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
cc in rad rad rad lat lon m cc volts in amp-hrs amp-hrs m rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 53.7405 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634652724.701 5.37405 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.45 0.681583 NaN NaN NaN NaN NaN NaN NaN NaN NaN 43.8934 -0.452683 NaN NaN NaN NaN 3.51684 NaN NaN NaN 1634652784.712 4.38934 NaN 0.015708 NaN NaN NaN 4 
NaN 0.369406 NaN NaN 0.3491 NaN NaN NaN NaN 14.59 0.323297 NaN NaN 34.659 NaN NaN NaN NaN NaN NaN 4725.01024678733 -5307.62330679161 0.331613 1634652844.723 3.4659 NaN NaN 8.24926 0.0773573 -0.0164238 NaN 
NaN NaN -0.45 0.662276 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.451516 NaN NaN NaN NaN 2.62847 NaN NaN NaN 1634652874.728 NaN NaN 0.0226893 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 28.5319 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634652904.734 2.85319 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.369186 0.640318 NaN NaN NaN NaN NaN NaN NaN NaN NaN 22.9081 -0.408336 NaN NaN NaN NaN 2.09963 NaN NaN NaN 1634652964.746 2.29081 NaN 0.0261799 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 20.3917 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634652994.75 2.03917 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.271418 0.621058 NaN NaN NaN NaN NaN NaN NaN NaN NaN 15.1837 -0.2928 NaN NaN NaN NaN 1.66155 NaN NaN NaN 1634653054.761 1.51837 NaN 0.0191986 NaN NaN NaN 4 
NaN NaN -0.198682 0.609225 NaN NaN NaN NaN NaN NaN NaN NaN NaN 9.538 -0.231587 NaN NaN NaN NaN 1.4015 NaN NaN NaN 1634653114.772 0.9538 NaN 0.0261799 NaN NaN NaN 4 
NaN 0 NaN NaN -0.3491 NaN NaN NaN NaN 14.7491 0.0238864 NaN NaN 5.83987 NaN NaN NaN NaN NaN NaN 4725.01135059342 -5307.57205193987 -0.560251 1634653146.849 0.583987 NaN NaN NaN NaN NaN NaN 
