dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-294-2-0
the8x3_filename: 00290000
filename_extension: sbd
filename_label: sunfish-2021-294-2-0-sbd(00290000)
mission_name: regm20.mi
fileopen_time: Fri_Oct_22_14:06:55_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-294-2-0
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634912075.651 NaN 57.9897 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 41.7309 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634912083.661 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 128.777 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634912087.668 12.8777 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0199332 0.140128 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0173691 NaN NaN NaN NaN 0.13439 NaN NaN NaN 1634912091.672 NaN NaN -0.0733038 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 137.113 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634912119.742 13.7113 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634912135.755 NaN 27.4413 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 26.6149 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634912143.765 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0741832 0.140686 NaN NaN NaN NaN NaN NaN NaN NaN 144.925 NaN 0.0752659 NaN NaN NaN NaN 0.235619 NaN NaN NaN 1634912151.776 14.4925 NaN -0.0471239 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 156.435 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634912183.8 15.6435 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634912195.87 NaN 22.3697 NaN NaN NaN NaN NaN 
