dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-349-0-19
the8x3_filename: 00450019
filename_extension: sbd
filename_label: sunfish-2021-349-0-19-sbd(00450019)
mission_name: regm20.mi
fileopen_time: Thu_Dec_23_15:34:33_2021
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-349-0-19
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 100.283 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274542.721 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.444359 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274572.726 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274602.732 10.6552 NaN 0.0244346 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 112.623 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274662.744 NaN NaN NaN NaN NaN NaN NaN NaN 
-0.50477 NaN -0.138648 NaN NaN NaN NaN NaN NaN NaN 15.1041 -0.408236 NaN NaN -0.153427 NaN NaN NaN NaN NaN NaN NaN NaN 1640274692.75 11.5594 NaN 0.0191986 NaN NaN NaN NaN NaN 
NaN -330 NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN -323.216 NaN NaN NaN NaN NaN 0.856957 4916.8688706911 -4715.52649365896 -0.350811 1640274722.755 NaN NaN NaN NaN 7.71969 NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.107283 NaN NaN 125.422 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274782.767 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274812.773 12.8589 NaN 0.0174533 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 138.635 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274902.791 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274932.796 14.2326 NaN 0.0191986 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.443837 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274992.808 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 153.4 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640275022.815 NaN NaN NaN NaN NaN NaN NaN NaN 
