dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-18
the8x3_filename: 00410018
filename_extension: sbd
filename_label: sunfish-2021-335-1-18-sbd(00410018)
mission_name: regm20.mi
fileopen_time: Fri_Dec__3_18:45:37_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-18
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4807.6179 -5313.4752 NaN NaN NaN NaN 1638557143.103 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638557147.111 -0.00218465 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0684715 -0.00925586 NaN NaN NaN NaN NaN NaN 1638557168.066 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.07297 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638557175.999 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638557180.007 -0.0393237 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00578968 NaN NaN NaN NaN NaN NaN NaN NaN 1638557184.046 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638557212.121 0 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.07214 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638557236.142 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.218465 NaN -0.055002 NaN NaN NaN NaN NaN NaN NaN NaN 1638557244.151 0.0218465 NaN NaN NaN NaN NaN NaN 
0 -212.5 NaN NaN NaN NaN NaN NaN 14.769 -0.0246667 NaN NaN NaN -206.227 NaN NaN NaN NaN NaN NaN 4807.64840009917 -5313.41230004134 NaN 1638557272.175 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.77945 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638557276.184 0.377945 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.0712 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638557296.251 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0551241 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN 3.54825 NaN NaN NaN 1638557304.254 NaN NaN 0.0453786 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 8.86969 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638557308.262 0.886968 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12.955 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638557342.269 1.2955 NaN NaN NaN NaN NaN NaN 
