dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-97
the8x3_filename: 00410097
filename_extension: sbd
filename_label: sunfish-2021-335-1-97-sbd(00410097)
mission_name: regm20.mi
fileopen_time: Fri_Dec_10_22:10:04_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-97
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
-0.270386 -237.5 NaN 1.5596 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.736529 NaN NaN NaN 1639174809.261 NaN NaN 0.0314159 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN 14.916 -0.249629 NaN NaN 66.9511 -228.596 NaN NaN NaN NaN NaN NaN 4840.49646092853 -5125.48185716319 NaN 1639174839.267 6.69511 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.297036 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.193954 NaN NaN NaN NaN NaN NaN NaN NaN 1639174869.272 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.55969 NaN NaN NaN NaN NaN NaN NaN NaN 73.6555 NaN NaN NaN NaN NaN NaN 6.1645 NaN NaN NaN 1639174899.278 7.36555 NaN 0.0418879 NaN NaN NaN 4 
NaN NaN 0.346423 NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 79.945 NaN 0.387329 NaN NaN NaN NaN NaN NaN NaN -0.31765 1639174959.29 7.9945 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.5598 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.485202 NaN NaN NaN 1639174989.296 NaN NaN 0.0471239 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 85.9287 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639175019.302 8.59287 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.19893 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.254746 NaN NaN NaN NaN NaN NaN NaN NaN 1639175049.308 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.55987 NaN NaN NaN NaN NaN NaN NaN NaN 91.6722 NaN NaN NaN NaN NaN NaN 1.02276 NaN NaN NaN 1639175079.314 9.16722 NaN 0.0383972 NaN NaN NaN 4 
-0.270386 -237.5 0.123838 NaN NaN NaN NaN NaN NaN NaN NaN NaN 97.1537 NaN 0.150532 NaN NaN NaN NaN NaN NaN NaN NaN 1639175139.326 9.71537 NaN NaN 8.02066 NaN NaN NaN 
NaN NaN NaN 1.55991 NaN NaN NaN NaN 14.9744 -0.249629 NaN NaN 100.167 -228.868 NaN NaN NaN NaN NaN 1.20428 4840.53547727065 -5125.46706339629 NaN 1639175169.332 10.0167 NaN 0.0471239 NaN NaN NaN 4 
NaN NaN 0.0796763 NaN NaN NaN NaN NaN NaN NaN NaN NaN 105.43 NaN 0.0984246 NaN NaN NaN NaN NaN NaN NaN NaN 1639175229.342 10.543 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.55994 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.949459 NaN NaN NaN 1639175259.348 NaN NaN 0.0401426 NaN NaN NaN 4 
NaN NaN 0.159423 NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 111.349 NaN 0.0781607 NaN NaN NaN NaN NaN NaN NaN -0.315905 1639175289.354 11.1349 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56 NaN NaN NaN NaN NaN NaN NaN NaN 116.917 NaN NaN NaN NaN NaN NaN 1.11527 NaN NaN NaN 1639175349.366 11.6917 NaN 0.0488692 NaN NaN NaN 4 
NaN NaN 0.124505 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.162111 NaN NaN NaN NaN NaN NaN NaN NaN 1639175379.372 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 122.224 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639175409.377 12.2224 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56002 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.24442 NaN NaN NaN 1639175439.383 NaN NaN 0.0349066 NaN NaN NaN 4 
-0.270386 -237.5 0.0968665 NaN NaN NaN NaN NaN NaN NaN NaN NaN 127.858 NaN 0.0810556 NaN NaN NaN NaN NaN NaN NaN NaN 1639175469.389 12.7858 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN 15.0165 -0.249629 NaN NaN NaN -229.004 NaN NaN NaN NaN NaN NaN 4840.56578380811 -5125.42233634414 NaN 1639175499.395 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56007 NaN NaN NaN NaN NaN NaN NaN NaN 133.755 NaN NaN NaN NaN NaN NaN 0.656244 NaN NaN NaN 1639175529.401 13.3755 NaN 0.0366519 NaN NaN NaN 4 
NaN NaN 0.231122 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.17948 NaN NaN NaN NaN NaN NaN NaN NaN 1639175559.407 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 139.629 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639175589.413 13.9629 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56016 -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.195477 NaN NaN -0.301942 1639175619.418 NaN NaN 0.0436332 NaN NaN NaN 4 
NaN NaN 0.339601 NaN NaN NaN NaN NaN NaN NaN NaN NaN 145.548 NaN 0.356986 NaN NaN NaN NaN NaN NaN NaN NaN 1639175649.424 14.5548 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56025 NaN NaN NaN NaN NaN NaN NaN NaN 151.291 NaN NaN NaN NaN NaN NaN 0.832522 NaN NaN NaN 1639175709.436 15.1291 NaN 0.0506145 NaN NaN NaN 4 
NaN NaN 0.45 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.248956 NaN NaN NaN NaN NaN NaN NaN NaN 1639175713.444 NaN 41.3919 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 40.928 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639175721.45 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 156.096 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639175759.512 15.6096 NaN NaN 8.03802 NaN NaN NaN 
-0.270386 -237.5 0.120553 1.5603 NaN NaN NaN 40.4611 NaN NaN NaN NaN NaN NaN 0.136057 NaN NaN NaN NaN 0.970403 NaN NaN NaN 1639175789.518 NaN 40.254 0.0366519 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 159.393 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639175793.52 15.9393 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN 15.0365 -0.249629 NaN NaN NaN -229.072 NaN NaN NaN NaN NaN NaN 4840.60396351418 -5125.40624582895 NaN 1639175801.525 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 163.564 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639175831.531 16.3564 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0954302 1.56034 NaN NaN NaN 33.4349 NaN NaN NaN NaN NaN NaN 0.136057 NaN NaN NaN NaN 1.27933 NaN NaN NaN 1639175861.537 NaN 32.9719 0.0418879 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 167.452 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639175865.541 16.7452 NaN NaN NaN NaN NaN NaN 
