dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-111
the8x3_filename: 00410111
filename_extension: sbd
filename_label: sunfish-2021-335-1-111-sbd(00410111)
mission_name: regm20.mi
fileopen_time: Sun_Dec_12_12:17:02_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-111
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 73.7288 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639312212.292 7.37288 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0876267 1.56263 NaN NaN NaN NaN NaN NaN NaN NaN 79.2757 NaN 0.055002 NaN NaN NaN NaN 0.986111 NaN NaN NaN 1639312272.304 7.92757 NaN 0.0296706 NaN NaN NaN 4 
-0.292662 -237.5 NaN NaN NaN NaN NaN NaN 14.9718 -0.29009 NaN NaN NaN -228.392 NaN NaN NaN NaN NaN NaN 4850.08242723527 -5046.55219633872 NaN 1639312302.31 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 84.8445 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639312332.316 8.48445 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.106534 1.56269 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.127373 NaN NaN NaN NaN 1.07338 NaN NaN NaN 1639312362.322 NaN NaN 0.0366519 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 90.3696 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639312392.328 9.03696 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.106662 1.56273 NaN NaN NaN NaN NaN NaN NaN NaN 93.1212 NaN 0.107109 NaN NaN NaN NaN 1.028 NaN NaN NaN 1639312422.333 9.31212 NaN 0.0331613 NaN NaN NaN 4 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 98.7992 NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.303687 1639312482.346 9.87992 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.133954 1.56279 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.136057 NaN NaN NaN NaN 1.07512 NaN NaN NaN 1639312512.352 NaN NaN 0.0383972 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 104.586 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639312542.358 10.4586 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0876814 1.56285 NaN NaN NaN NaN NaN NaN NaN NaN 110.308 NaN 0.112899 NaN NaN NaN NaN 1.30027 NaN NaN NaN 1639312602.369 11.0308 NaN 0.0401426 8.08354 NaN NaN 4 
-0.259132 -237.5 NaN NaN NaN NaN NaN NaN 15.0091 -0.29009 NaN NaN NaN -228.505 NaN NaN NaN NaN NaN NaN 4850.11395844377 -5046.50388179199 NaN 1639312632.375 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 116.488 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639312662.38 11.6488 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.049181 1.56288 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0694762 NaN NaN NaN NaN 1.46957 NaN NaN NaN 1639312692.386 NaN NaN 0.0401426 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 122.69 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639312722.392 12.269 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0282294 1.56289 -0.3491 NaN NaN NaN NaN NaN NaN NaN 129.351 NaN 0.0289484 NaN NaN NaN NaN 1.47655 NaN NaN -0.349066 1639312782.404 12.9351 NaN 0.0401426 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 136.536 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639312842.416 13.6536 NaN NaN NaN NaN NaN NaN 
