dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-2-3
the8x3_filename: 00260003
filename_extension: sbd
filename_label: sunfish-2021-291-2-3-sbd(00260003)
mission_name: regm20.mi
fileopen_time: Tue_Oct_19_16:22:46_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-2-3
c_ballast_pumped c_battpos c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_ballast_pumped m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
cc in rad rad rad lat lon m cc volts in amp-hrs amp-hrs m rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN 0.9 0 NaN NaN 4725.98 -5307.14 NaN NaN 14.7763 0.923737 1.3475 9.68624 0.869189 0 NaN NaN 4725.7661 -5307.1578 NaN 4725.76610009401 -5307.15780002986 NaN 1634660561.61 0.0869189 NaN NaN 9.72332 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.912922 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634660595.769 0.0912922 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0075519 -0.0362811 NaN NaN NaN NaN NaN NaN 1634660607.781 NaN NaN NaN NaN -0.0075519 -0.0362811 NaN 
NaN NaN NaN 4.97375 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634660616 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1634660625.644 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.869189 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634660629.734 0.0869189 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2.22491 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634660661.755 0.222491 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 4.95101 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634660677.771 NaN NaN NaN NaN NaN NaN NaN 
