dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-4
the8x3_filename: 00410004
filename_extension: sbd
filename_label: sunfish-2021-335-1-4-sbd(00410004)
mission_name: regm20.mi
fileopen_time: Thu_Dec__2_17:37:37_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-4
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1638466652.597 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.043693 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638466662.715 0.0043693 NaN NaN NaN NaN NaN NaN 
0.9 430 NaN NaN NaN NaN NaN NaN 14.6943 0.920501 NaN NaN NaN 430.258 NaN NaN NaN NaN NaN NaN 4756.67820009669 -5327.64210007956 NaN 1638466674.724 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0218465 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638466693.799 0.00218465 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.884511 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638466697.005 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1638466717.109 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.546163 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638466725.129 0.0546163 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.88624 NaN NaN NaN NaN NaN NaN NaN NaN 2.27204 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638466757.155 0.227204 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1638466777.173 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.73326 NaN NaN NaN 1638466785.183 NaN NaN -0.0331613 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 10.3334 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638466790.021 1.03334 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.886831 NaN NaN NaN NaN NaN NaN NaN NaN 16.931 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638466824.03 1.6931 NaN NaN 8.1533 NaN NaN NaN 
NaN NaN -0.40943 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.45385 NaN NaN NaN NaN 2.36667 NaN NaN NaN 1638466854.036 NaN NaN 0.00349066 NaN NaN NaN 4 
NaN NaN NaN 0.884183 NaN NaN NaN NaN NaN NaN NaN NaN 28.9466 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638466884.041 2.89466 NaN NaN NaN NaN NaN NaN 
