dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-6
the8x3_filename: 00410006
filename_extension: sbd
filename_label: sunfish-2021-335-1-6-sbd(00410006)
mission_name: regm20.mi
fileopen_time: Thu_Dec__2_19:00:37_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-6
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.720935 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638471633.089 0.0720935 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1638471659.107 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.546163 NaN NaN NaN NaN NaN NaN NaN 4757.55020009685 -5327.12840007777 NaN 1638471667.118 0.0546163 NaN NaN NaN -0.0259225 -0.0354281 NaN 
NaN NaN NaN 0.915981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638471674.999 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.961247 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638471699.108 0.0961247 NaN NaN NaN NaN NaN NaN 
0 -330 NaN NaN NaN NaN NaN NaN 14.6632 -0.0214298 NaN NaN NaN -148.865 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638471711.115 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1638471719.125 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2.73081 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638471731.137 0.273081 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.917377 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638471735.145 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.24988 NaN NaN -0.537561 1638471761.021 NaN NaN -0.010472 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 9.98386 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638471765.03 0.998386 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.45 0.917706 NaN NaN NaN NaN NaN NaN NaN NaN 17.4554 NaN 0.451516 NaN NaN NaN NaN NaN NaN NaN NaN 1638471807.044 1.74554 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.67217 NaN NaN NaN 1638471837.05 NaN NaN -0.0331613 NaN NaN NaN 4 
NaN NaN -0.45 0.917938 NaN NaN NaN NaN NaN NaN NaN NaN 27.2863 NaN 0.451516 NaN NaN NaN NaN NaN NaN NaN NaN 1638471867.056 2.72863 NaN NaN NaN NaN NaN NaN 
