dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-2-1
the8x3_filename: 00260001
filename_extension: sbd
filename_label: sunfish-2021-291-2-1-sbd(00260001)
mission_name: regm20.mi
fileopen_time: Tue_Oct_19_14:55:59_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-2-1
c_ballast_pumped c_battpos c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_ballast_pumped m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
cc in rad rad rad lat lon m cc volts in amp-hrs amp-hrs m rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.270657 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634655355.051 0.0270657 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1634655380.992 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.13943 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634655384.999 0.013943 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4725.32000009395 -5307.40100003021 NaN 1634655392.134 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.392645 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634655400 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634655404.006 NaN NaN NaN NaN -0.0260847 -0.0232703 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.642469 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634655420.103 0.0642469 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1634655444.118 NaN NaN NaN NaN NaN NaN NaN 
