Order	parameter name	long_name	cf_standard_name	unit	valid_min	valid_max	core/bio/intermediate core/intermediate bio	sdn_parameter_urn	sdn_uom_urn	Fillvalue	Data Type
47	UV_INTENSITY_DARK_SEAWATER_NITRATE	Intensity of ultra-violet flux dark sea water from nitrate sensor	-	count	-	-	ib	SDN:P01::UVSDZZ01	SDN:P06::UUUU	99999	float
48	NITRATE	Nitrate	moles_of_nitrate_per_unit_mass_in_sea_water	micromole/kg	-	-	b	SDN:P01::MDMAP005	SDN:P06::KGUM	99999	float
49	BISULFIDE	Bisulfide	-	micromole/kg	-	-	b	SDN:P01::H2SXZZ01	SDN:P06::KGUM	99999	float
50	MOLAR_NITRATE	Nitrate	-	micromole/l	-	-	ib	SDN:P01::NTRZMC01	SDN:P06::UPOX	99999	float
51	FIT_ERROR_NITRATE	Nitrate fit error	-	dimensionless	-	-	ib	SDN:P01::NTFEZZ01	SDN:P06::UUUU	99999	float
52	TEMP_NITRATE	Internal temperature of the SUNA sensor	-	degree_Celsius	-	-	ib			99999	float
53	TEMP_SPECTROPHOTOMETER_NITRATE	Temperature of the spectrometer	-	degree_Celsius	-	-	ib			99999	float
54	HUMIDITY_NITRATE	Relative humidity inside the SUNA sensor (If > 50% There is a leak)	-	percent	0	100	ib			99999	float
55	VRS_PH	Voltage difference between reference and source from pH sensor	-	volt	-	-	ib	SDN:P01::PVLTGC01	SDN:P06::UVLT	99999	float
56	TEMP_PH	Sea temperature from pH sensor	-	degree_Celsius	-2	40	ib			99999	float
57	IB_PH	Base current of pH sensor	-	nanoampere	-	-	ib			99999	float
58	VK_PH	Counter electrode voltage of pH sensor	-	volt	-	-	ib			99999	float
59	IK_PH	Counter electrode current of pH sensor	-	nanoampere	-	-	ib			99999	float
60	PH_IN_SITU_TOTAL	pH	sea_water_ph_reported_on_total_scale	dimensionless	-	-	b	SDN:P01::PHMASSXX	SDN:P06::UUPH	99999	float
61	PH_IN_SITU_FREE	pH	-	dimensionless	-	-	ib	SDN:P01::PHFRWCAL	SDN:P06::UUPH	99999	float
