dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-2-3
the8x3_filename: 00260003
filename_extension: tbd
filename_label: sunfish-2021-291-2-3-tbd(00260003)
mission_name: regm20.mi
fileopen_time: Tue_Oct_19_16:22:40_2021
sensors_per_cycle: 18
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-2-3
sci_flbbcd_bb_ref sci_flbbcd_bb_sig sci_flbbcd_bb_units sci_flbbcd_cdom_ref sci_flbbcd_cdom_sig sci_flbbcd_cdom_units sci_flbbcd_chlor_ref sci_flbbcd_chlor_sig sci_flbbcd_chlor_units sci_flbbcd_therm sci_m_present_secs_into_mission sci_m_present_time sci_oxy4_oxygen sci_oxy4_saturation sci_oxy4_temp sci_water_cond sci_water_pressure sci_water_temp 
nodim nodim nodim nodim nodim ppb nodim nodim ug/l nodim sec timestamp um % degc s/m bar degc 
4 4 4 4 4 4 4 4 4 4 4 8 4 4 4 4 4 4 
700 288 0.000436692 460 62 1.0848 695 85 0.292 556 8380.37 1634660624 NaN NaN NaN NaN NaN NaN 
700 277 0.00041676 460 63 1.1752 695 79 0.2482 556 8381.37 1634660625 NaN NaN NaN NaN NaN NaN 
700 280 0.000422196 460 62 1.0848 695 77 0.2336 556 8382.37 1634660626 NaN NaN NaN NaN NaN NaN 
700 298 0.000454812 460 63 1.1752 695 81 0.2628 555 8383.37 1634660627 NaN NaN NaN NaN NaN NaN 
700 297 0.000453 460 63 1.1752 695 79 0.2482 555 8384.37 1634660628 307.111 91.242 12.004 NaN NaN NaN 
700 321 0.000496488 460 62 1.0848 695 82 0.2701 555 8385.37 1634660629 NaN NaN NaN NaN NaN NaN 
700 313 0.000481992 460 61 0.9944 695 84 0.2847 555 8386.37 1634660630 307.12 91.234 11.999 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 8387.37 1634660631 NaN NaN NaN 3.5486 0.00351 11.9725 
700 316 0.000487428 460 62 1.0848 695 82 0.2701 555 8388.37 1634660632 307.186 91.244 11.994 3.54874 0.0076 11.9722 
700 279 0.000420384 460 63 1.1752 695 83 0.2774 555 8389.37 1634660633 NaN NaN NaN 3.54865 0.00629 11.9732 
700 392 0.00062514 460 64 1.2656 695 83 0.2774 555 8390.37 1634660634 307.157 91.235 11.994 3.54889 0.00912 11.9741 
700 320 0.000494676 460 62 1.0848 695 85 0.292 555 8391.37 1634660635 NaN NaN NaN 3.54906 0.01412 11.9746 
