dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-130
the8x3_filename: 00410130
filename_extension: sbd
filename_label: sunfish-2021-335-1-130-sbd(00410130)
mission_name: regm20.mi
fileopen_time: Tue_Dec_14_12:49:30_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-130
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 61.4219 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639486791.161 6.14219 NaN NaN NaN NaN NaN NaN 
-0.523959 -312.5 0.135453 1.57775 NaN NaN NaN NaN 15.0222 -0.479447 NaN NaN 67.7999 -306.286 0.133163 NaN NaN NaN NaN 1.1013 4847.12222399296 -4952.55941290444 NaN 1639486851.172 6.77999 NaN 0.0366519 NaN NaN NaN 4 
NaN NaN 0.0952666 1.57778 NaN NaN NaN NaN NaN NaN NaN NaN 73.9378 NaN 0.107109 NaN NaN NaN NaN 1.19904 NaN NaN NaN 1639486911.183 7.39378 NaN 0.0349066 NaN NaN NaN 4 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 79.9882 NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.324631 1639486971.194 7.99882 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0909923 1.57782 NaN NaN NaN NaN NaN NaN NaN NaN 83.2646 NaN 0.0955298 NaN NaN NaN NaN 1.40674 NaN NaN NaN 1639487001.2 8.32646 NaN 0.0453786 7.83563 NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 86.7158 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487031.206 8.67158 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0241185 1.57782 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0405278 NaN NaN NaN NaN 1.9443 NaN NaN NaN 1639487061.211 NaN NaN 0.0296706 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 93.6836 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487091.217 9.36836 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.103219 1.57777 NaN NaN NaN NaN NaN NaN NaN NaN 101.023 NaN -0.110004 NaN NaN NaN NaN 2.26893 NaN NaN NaN 1639487151.229 10.1023 NaN 0.0418879 NaN NaN NaN 4 
-0.523959 -312.5 NaN NaN NaN NaN NaN NaN 15.0601 -0.479447 NaN NaN NaN -306.604 NaN NaN NaN NaN NaN NaN 4847.12999583136 -4952.49206444596 NaN 1639487181.234 NaN NaN NaN NaN NaN NaN NaN 
