dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-95
the8x3_filename: 00410095
filename_extension: sbd
filename_label: sunfish-2021-335-1-95-sbd(00410095)
mission_name: regm20.mi
fileopen_time: Fri_Dec_10_19:31:16_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-95
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN 0.189028 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639165334.256 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56205 NaN NaN NaN NaN NaN NaN NaN NaN 84.8502 NaN 0.199744 NaN NaN NaN NaN 0.991347 NaN NaN NaN 1639165364.262 8.48502 NaN 0.0418879 NaN NaN NaN 4 
NaN NaN 0.0760341 NaN NaN NaN NaN NaN NaN NaN NaN NaN 91.4906 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639165424.274 9.14906 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56209 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0752659 NaN NaN NaN NaN 1.49575 NaN NaN NaN 1639165454.28 NaN NaN 0.0471239 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 98.262 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639165484.286 9.8262 NaN NaN NaN NaN NaN NaN 
-0.316319 -262.5 0.0395291 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639165514.291 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.5621 NaN NaN NaN NaN NaN NaN NaN NaN 104.771 NaN 0.0376329 NaN NaN NaN NaN 1.18857 NaN NaN NaN 1639165544.297 10.4771 NaN 0.0401426 NaN NaN NaN 4 
NaN NaN NaN NaN -0.3491 NaN NaN NaN 15.0006 -0.270669 NaN NaN NaN -252.642 NaN NaN NaN NaN NaN NaN 4840.18565872057 -5128.14128541501 -0.326377 1639165574.303 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.115139 NaN NaN NaN NaN NaN NaN NaN NaN NaN 111.652 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639165604.309 11.1652 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56214 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.115794 NaN NaN NaN NaN 1.30725 NaN NaN NaN 1639165634.315 NaN NaN 0.0453786 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 119.057 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639165664.321 11.9057 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0584396 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639165694.327 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56216 NaN NaN NaN NaN NaN NaN 38.2412 52.3962 126.352 NaN 0.0636865 NaN NaN NaN NaN 1.35961 NaN NaN NaN 1639165724.333 12.6352 NaN 0.0401426 NaN NaN NaN 4 
