dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-208
the8x3_filename: 00560208
filename_extension: sbd
filename_label: sunfish-2022-110-0-208-sbd(00560208)
mission_name: regm20.mi
fileopen_time: Tue_May_31_11:14:06_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-208
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 120.293 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996654.344 12.0293 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996684.35 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.118812 NaN NaN 130.851 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996744.362 13.0851 NaN NaN NaN NaN NaN NaN NaN 
-0.228218 NaN 0.231245 NaN NaN NaN NaN NaN NaN NaN 14.7894 -0.201076 NaN NaN 0.153427 NaN NaN NaN NaN NaN NaN NaN NaN 1653996804.374 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 144.222 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996864.385 14.4222 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 3.64649 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996924.397 NaN NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 157.571 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996984.409 15.7571 NaN NaN NaN NaN NaN NaN NaN 
NaN -255 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -246.749 NaN NaN NaN NaN NaN NaN 4910.04673375829 -5230.95300688741 NaN 1653997014.415 NaN NaN NaN NaN 8.22961 NaN NaN 0 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.34056 NaN NaN -0.321141 1653997044.42 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.110147 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997074.427 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 170.593 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997104.433 17.0593 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997164.445 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
-0.228218 NaN 0.128032 NaN NaN NaN NaN NaN NaN NaN 14.8191 -0.201076 183.811 NaN 0.110004 NaN NaN NaN NaN NaN NaN NaN NaN 1653997224.457 18.3811 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997254.462 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN 3.64764 NaN NaN NaN NaN NaN NaN NaN NaN 196.943 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997344.479 19.6943 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997374.485 NaN NaN 0.0506145 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.111696 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997378.489 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 206.671 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997438.524 20.6671 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.51858 NaN NaN -0.31765 1653997446.533 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997466.607 NaN NaN 0.0506145 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997470.615 NaN 95.8769 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 95.0857 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997478.621 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 217.534 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997546.641 21.7534 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997576.647 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
-0.228218 -255 -0.0297928 NaN NaN NaN NaN NaN NaN NaN 14.764 -0.201076 NaN -246.794 -0.0318433 NaN NaN NaN NaN NaN 4909.95933246316 -5230.92697434989 NaN 1653997636.659 NaN NaN NaN NaN 8.22502 NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 230.643 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997666.664 23.0643 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997670.667 NaN NaN 0.0506145 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.10208 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997678.672 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 3.64858 NaN NaN NaN NaN NaN NaN NaN NaN 240.458 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997768.69 24.0458 NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 73.1429 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997798.696 NaN 73.1429 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 250.274 NaN NaN NaN NaN NaN NaN 3.52382 NaN NaN -0.312414 1653997870.667 25.0274 NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0936563 NaN NaN 261.398 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653997983.313 26.1399 NaN 0.0541052 NaN NaN NaN NaN NaN 
-0.228218 NaN 0.0454816 NaN NaN NaN NaN NaN NaN NaN 14.7256 -0.201076 NaN NaN 0.0955298 NaN NaN NaN NaN NaN NaN NaN NaN 1653998055.337 NaN NaN NaN NaN NaN NaN NaN NaN 
