dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-349-0-0
the8x3_filename: 00450000
filename_extension: sbd
filename_label: sunfish-2021-349-0-0-sbd(00450000)
mission_name: regm20.mi
fileopen_time: Thu_Dec_16_20:57:26_2021
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-349-0-0
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
-0.248143 NaN 0.0652333 1.12405 -0.4538 NaN NaN NaN NaN NaN 14.9954 -0.293327 NaN NaN 0.0781607 NaN NaN NaN NaN 0.881391 NaN NaN -0.406662 1639689853.726 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 230.996 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639689883.737 23.0996 NaN 0.00872665 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 245.502 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639689988.775 24.5502 NaN 0.00872665 NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -337.879 NaN NaN NaN NaN NaN NaN 4833.91309451977 -4844.02120398171 NaN 1639690063.802 NaN NaN NaN NaN 7.70921 NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 260.358 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639690093.814 26.0358 NaN 0.0122173 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.14435 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639690123.825 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 273.335 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639690183.847 27.3335 NaN 0.010472 NaN NaN NaN NaN NaN 
-0.248143 NaN 0.0839094 1.12425 -0.4538 NaN NaN NaN NaN NaN 15.0097 -0.293327 NaN NaN 0.0897401 NaN NaN NaN NaN 0.79587 NaN NaN -0.397935 1639690258.874 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 288.343 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639690288.885 28.8343 NaN 0.00872665 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 303.636 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639690393.923 30.3636 NaN 0.010472 NaN NaN NaN NaN NaN 
