dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-1
the8x3_filename: 00410001
filename_extension: sbd
filename_label: sunfish-2021-335-1-1-sbd(00410001)
mission_name: regm20.mi
fileopen_time: Thu_Dec__2_15:12:56_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-1
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 100.232 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458509.321 10.0232 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0416294 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0463175 NaN NaN NaN NaN 5.72992 NaN NaN NaN 1638458533.335 NaN NaN -0.015708 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 107.026 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458541.344 10.7026 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 5.83957 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458565.364 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 113.58 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458573.373 11.358 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.100862 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0231587 NaN NaN NaN NaN 5.96903 NaN NaN NaN 1638458593.456 NaN NaN -0.00698132 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 120.156 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458605.464 12.0156 NaN NaN NaN NaN NaN NaN 
-0.614665 -430 NaN NaN NaN NaN NaN NaN 14.8484 -0.628344 NaN NaN NaN -423.729 NaN NaN NaN NaN NaN NaN 4755.60555788859 -5327.64290246789 NaN 1638458621.479 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 5.83804 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458625.487 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 126.732 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458637.495 12.6732 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0504427 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0260536 NaN NaN NaN NaN 5.69326 NaN NaN NaN 1638458653.509 NaN NaN -0.0139626 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 133.788 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458669.524 13.3788 NaN NaN NaN NaN NaN NaN 
