dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-14
the8x3_filename: 00410014
filename_extension: sbd
filename_label: sunfish-2021-335-1-14-sbd(00410014)
mission_name: regm20.mi
fileopen_time: Fri_Dec__3_13:58:57_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-14
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN 1.34523 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.39975 NaN NaN NaN 1638540523.463 NaN NaN -0.00698132 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 69.3679 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638540553.469 6.93679 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0197735 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0463175 NaN NaN NaN NaN NaN NaN NaN NaN 1638540583.475 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.3457 NaN NaN NaN NaN NaN NaN NaN NaN 75.9218 NaN NaN NaN NaN NaN NaN 1.20777 4805.90326362982 -5317.06105774096 NaN 1638540613.482 7.59218 NaN 0.00523599 NaN NaN NaN 4 
NaN NaN 0.0288642 NaN NaN NaN NaN NaN NaN NaN NaN NaN 79.1114 NaN 0.0202639 NaN NaN NaN NaN NaN NaN NaN NaN 1638540643.487 7.91114 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 6.90878 21.0638 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638540673.493 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.34609 NaN NaN NaN NaN NaN NaN NaN NaN 85.7309 NaN NaN NaN NaN NaN NaN 1.42244 NaN NaN NaN 1638540703.499 8.57308 NaN 0.00174533 NaN NaN NaN 5 
NaN NaN 0.0288642 NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 88.9641 NaN 0.0202639 NaN NaN NaN NaN NaN NaN NaN -0.312414 1638540733.504 8.89641 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.34573 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.42593 NaN NaN NaN 1638540763.51 NaN NaN 0.010472 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 95.0593 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638540793.516 9.50593 NaN NaN NaN NaN NaN NaN 
-0.408468 -262.5 -0.0403232 NaN NaN NaN NaN NaN 14.8444 -0.374249 NaN NaN NaN -255.135 0.0173691 NaN NaN NaN NaN NaN NaN NaN NaN 1638540823.522 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.34433 NaN NaN NaN NaN NaN NaN NaN NaN 101.635 NaN NaN NaN NaN NaN NaN 1.53938 NaN NaN NaN 1638540853.528 10.1635 NaN 0 7.91521 NaN NaN 4 
NaN NaN -0.0466132 NaN NaN NaN NaN NaN NaN NaN NaN NaN 108.276 NaN -0.0405278 NaN NaN NaN NaN NaN NaN NaN NaN 1638540913.54 10.8276 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.34355 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.28107 4805.928143674 -5316.99622028557 NaN 1638540943.545 NaN NaN -0.00523599 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 114.721 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638540973.551 11.4721 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0349381 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0405278 NaN NaN NaN NaN NaN NaN NaN NaN 1638541003.557 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.3448 NaN NaN NaN NaN NaN NaN NaN NaN 121.166 NaN NaN NaN NaN NaN NaN 1.16413 NaN NaN NaN 1638541033.563 12.1166 NaN 0 NaN NaN NaN 4 
