dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-014-1-6
the8x3_filename: 00490006
filename_extension: sbd
filename_label: sunfish-2022-014-1-6-sbd(00490006)
mission_name: regm20.mi
fileopen_time: Mon_Jan_17_06:18:22_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-014-1-6
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
-0.469449 -330 0.155436 NaN NaN NaN NaN NaN NaN NaN 14.9851 -0.500487 NaN -321.403 0.159216 NaN NaN NaN NaN NaN 5337.71226668191 -4942.54737472453 NaN 1642401509.381 NaN NaN NaN NaN 7.73607 NaN NaN NaN 
NaN NaN NaN 0.140657 NaN NaN NaN NaN NaN NaN NaN NaN 151.255 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401599.399 15.1255 NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.84154 NaN NaN -0.314159 1642401689.416 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 163.113 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401719.422 16.3113 NaN 0.0663225 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.101095 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401749.428 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 175.736 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401839.445 17.5736 NaN 0.0610865 NaN NaN NaN NaN NaN 
-0.469449 NaN 0.099288 NaN NaN NaN NaN NaN NaN NaN 14.9987 -0.502106 NaN NaN 0.127373 NaN NaN NaN NaN NaN NaN NaN NaN 1642401929.465 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 187.42 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401959.472 18.742 NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.141712 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642402019.484 NaN NaN NaN NaN NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0948296 NaN NaN 198.514 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642402079.496 19.8514 NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.98473 NaN NaN -0.307178 1642402109.501 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -321.63 NaN NaN NaN NaN NaN NaN 5337.76519694129 -4942.64507191805 NaN 1642402139.507 NaN NaN NaN NaN 7.71806 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 210.089 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642402199.519 21.0089 NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 223.236 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642402319.542 22.3236 NaN 0.0575959 NaN NaN NaN NaN NaN 
-0.469449 NaN 0.192896 NaN NaN NaN NaN NaN NaN NaN 15.0094 -0.502106 NaN NaN 0.220008 NaN NaN NaN NaN NaN NaN NaN NaN 1642402349.548 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.112327 NaN NaN 233.828 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642402409.56 23.3828 NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.142702 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642402439.566 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 247.39 NaN NaN NaN NaN NaN NaN 6.19766 NaN NaN -0.301942 1642402529.583 24.739 NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 260.384 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642402649.606 26.0384 NaN 0.0593412 NaN NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.106344 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642402739.624 NaN NaN NaN NaN NaN NaN NaN NaN 
-0.469449 -330 0.0716858 NaN NaN NaN NaN NaN NaN NaN 15.0155 -0.502106 272.92 -322.332 0.0665814 NaN NaN NaN NaN NaN 5337.84348975375 -4942.73371300249 NaN 1642402769.629 27.292 NaN 0.0558505 NaN 7.72166 NaN NaN NaN 
NaN NaN NaN 0.143061 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642402859.646 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 284.931 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642402889.652 28.4931 NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 6.25351 NaN NaN -0.298451 1642402949.664 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 296.812 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642403009.675 29.6812 NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0989657 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642403069.687 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 310.134 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642403129.698 31.0134 NaN 0.0715585 NaN NaN NaN NaN NaN 
-0.369903 NaN 0.0936428 NaN NaN NaN NaN NaN NaN NaN 14.9957 -0.351591 NaN NaN 0.115794 NaN NaN NaN NaN NaN NaN NaN NaN 1642403189.709 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 321.359 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642403219.715 32.1359 NaN 0.0698132 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.143448 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642403279.727 NaN NaN NaN NaN NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 336.297 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642403339.738 33.6297 NaN 0.0645772 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0453786 NaN NaN -0.345575 1642403369.744 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN 0.123502 NaN NaN NaN -322.423 NaN NaN NaN NaN NaN NaN 5337.93162926857 -4942.79365622877 NaN 1642403399.75 NaN NaN NaN NaN 7.71511 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 351.016 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642403459.761 35.1016 NaN 0.0680678 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 365.19 NaN NaN NaN NaN 5337.5696 -4942.3542 NaN NaN NaN NaN 1642403579.785 36.519 NaN 0.0698132 NaN NaN NaN NaN NaN 
-0.369903 NaN 0.0729572 NaN NaN NaN NaN NaN NaN NaN 15.0137 -0.351591 NaN NaN 0.0665814 NaN NaN NaN NaN NaN NaN NaN NaN 1642403609.791 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.143577 NaN NaN NaN NaN NaN NaN NaN NaN 378.883 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642403699.808 37.8883 NaN 0.0663225 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.113676 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642403729.815 NaN NaN NaN NaN NaN NaN NaN NaN 
