dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-106
the8x3_filename: 00410106
filename_extension: sbd
filename_label: sunfish-2021-335-1-106-sbd(00410106)
mission_name: regm20.mi
fileopen_time: Sat_Dec_11_22:56:27_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-106
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN -0.133402 1.56228 NaN NaN NaN NaN NaN NaN NaN NaN 63.5958 NaN -0.159216 NaN NaN NaN NaN NaN NaN NaN NaN 1639263966.25 6.35958 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.88845 NaN NaN NaN 1639263996.256 NaN NaN 0.0366519 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 69.8198 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639264026.262 6.98198 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0552106 1.56224 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0781607 NaN NaN NaN NaN NaN NaN NaN NaN 1639264056.268 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 76.3057 NaN NaN NaN NaN NaN NaN 1.54113 NaN NaN NaN 1639264086.274 7.63057 NaN 0.0401426 NaN NaN NaN 4 
-0.218899 -237.5 NaN NaN NaN NaN NaN NaN 14.9686 -0.233445 NaN NaN NaN -230.726 NaN NaN NaN NaN NaN NaN 4846.7138416806 -5100.75777962189 NaN 1639264116.28 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0530527 1.56225 NaN NaN NaN NaN NaN NaN NaN NaN 82.9882 NaN -0.055002 NaN NaN NaN NaN NaN NaN NaN NaN 1639264146.286 8.29882 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.17984 NaN NaN NaN 1639264176.291 NaN NaN 0.0366519 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 90.0639 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639264206.297 9.00638 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.102294 1.5623 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0839504 NaN NaN NaN NaN NaN NaN NaN NaN 1639264236.303 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 97.1613 NaN NaN NaN NaN NaN NaN 0.996583 NaN NaN -0.324631 1639264266.309 9.71613 NaN 0.0418879 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639264296.315 NaN NaN NaN 8.06226 NaN NaN NaN 
NaN NaN 0.112344 1.56236 NaN NaN NaN NaN NaN NaN NaN NaN 103.56 NaN 0.127373 NaN NaN NaN NaN NaN NaN NaN NaN 1639264326.321 10.356 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 106.421 NaN NaN NaN NaN NaN NaN 1.21126 NaN NaN NaN 1639264356.327 10.6421 NaN 0.0366519 NaN NaN NaN 4 
NaN NaN 0.0646216 1.5624 NaN NaN NaN NaN NaN NaN NaN NaN 111.902 NaN 0.104214 NaN NaN NaN NaN NaN NaN NaN NaN 1639264416.338 11.1902 NaN NaN NaN NaN NaN NaN 
-0.218899 -237.5 NaN NaN NaN NaN NaN NaN 15.0053 -0.233445 NaN NaN NaN -230.953 NaN NaN NaN NaN NaN 1.39801 4846.74570050577 -5100.70478548275 NaN 1639264446.344 11.5003 NaN 0.0401426 NaN NaN NaN 4 
NaN NaN 0.0385368 1.56242 NaN NaN NaN NaN NaN NaN NaN NaN 118.017 NaN 0.0376329 NaN NaN NaN NaN NaN NaN NaN NaN 1639264476.349 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639264506.355 12.1183 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 124.481 NaN NaN NaN NaN NaN NaN 1.25664 NaN NaN NaN 1639264536.361 NaN NaN 0.0349066 NaN NaN NaN 4 
NaN NaN 0.0712234 1.56245 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0607917 NaN NaN NaN NaN NaN NaN NaN NaN 1639264566.367 12.7844 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 131.032 NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.322886 1639264596.373 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.17112 NaN NaN NaN 1639264626.378 13.4265 NaN 0.0401426 NaN NaN NaN 4 
NaN NaN 0.0919293 1.56249 NaN NaN NaN NaN NaN NaN NaN NaN 137.409 NaN 0.0810556 NaN NaN NaN NaN NaN NaN NaN NaN 1639264656.384 NaN NaN NaN NaN NaN NaN NaN 
