dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-47
the8x3_filename: 00410047
filename_extension: sbd
filename_label: sunfish-2021-335-1-47-sbd(00410047)
mission_name: regm20.mi
fileopen_time: Sun_Dec__5_19:23:04_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-47
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.180213 NaN 0.0578968 NaN NaN NaN NaN NaN NaN NaN NaN 1638732193.769 0.0180213 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.168878 -0.0128816 NaN NaN NaN NaN NaN NaN 1638732217.788 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.49817 NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638732225.999 -0.0212979 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0607917 NaN NaN NaN NaN NaN NaN NaN NaN 1638732254.113 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.573406 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638732258.119 0.0573406 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.4982 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638732286.162 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.770002 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638732290.169 0.0770003 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1638732314.184 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.33058 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638732322.192 0.433058 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.49804 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638732346.278 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.93223 NaN NaN -0.397935 1638732350.28 NaN NaN 0.0349066 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 8.34988 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638732354.282 0.834989 NaN NaN NaN NaN NaN NaN 
-0.105801 -212.5 -0.45 NaN NaN NaN NaN NaN 14.7527 -0.0198114 NaN NaN 13.2648 -204.051 -0.45385 NaN NaN NaN NaN NaN 4818.69589227717 -5256.81878152201 NaN 1638732388.29 1.32648 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.49743 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.76118 NaN NaN NaN 1638732418.294 NaN NaN 0.0383972 NaN NaN NaN 4 
