dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-44
the8x3_filename: 00410044
filename_extension: sbd
filename_label: sunfish-2021-335-1-44-sbd(00410044)
mission_name: regm20.mi
fileopen_time: Sun_Dec__5_15:04:15_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-44
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN 0.0557759 NaN NaN NaN NaN NaN NaN NaN NaN NaN 62.2828 NaN 0.0955298 NaN NaN NaN NaN NaN NaN NaN NaN 1638717291.542 6.22828 NaN NaN NaN NaN NaN NaN 
-0.130368 -212.5 NaN 2.04914 NaN NaN NaN NaN 14.8036 -0.181655 NaN NaN 68.9889 -204.482 NaN NaN NaN NaN NaN 2.43823 4819.24822142395 -5258.0918136115 NaN 1638717351.554 6.89889 NaN 0.0279253 NaN NaN NaN 4 
NaN NaN -0.0862937 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.107109 NaN NaN NaN NaN NaN NaN NaN NaN 1638717381.558 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 2.04877 NaN NaN NaN NaN NaN NaN NaN NaN 75.6295 NaN NaN NaN NaN NaN NaN 2.04204 NaN NaN NaN 1638717411.564 7.56295 NaN 0.0383972 NaN NaN NaN 4 
NaN NaN -0.00868119 NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 82.0735 NaN -0.00868453 NaN NaN NaN NaN NaN NaN NaN -0.322886 1638717471.576 8.20735 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 2.04883 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2.12581 NaN NaN NaN 1638717501.582 NaN NaN 0.0418879 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 88.2554 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638717531.588 8.82554 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.00868119 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00868453 NaN NaN NaN NaN NaN NaN NaN NaN 1638717561.593 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 2.04887 NaN NaN NaN NaN NaN NaN NaN NaN 94.5902 NaN NaN NaN NaN NaN NaN 2.01062 NaN NaN NaN 1638717591.599 9.45902 NaN 0.0383972 NaN NaN NaN 4 
-0.130368 -212.5 0.0246631 NaN NaN NaN NaN NaN 14.8427 -0.181655 NaN NaN 100.597 -204.844 0.0260536 NaN NaN NaN NaN NaN 4819.24438964805 -5258.02741533379 NaN 1638717651.611 10.0597 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 2.04905 NaN NaN NaN NaN NaN NaN 16.7072 30.8623 NaN NaN NaN NaN NaN NaN NaN 1.61094 NaN NaN NaN 1638717681.616 NaN NaN 0.0296706 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 106.517 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638717711.622 10.6517 NaN NaN 7.9401 NaN NaN NaN 
NaN NaN 0.169135 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0955298 NaN NaN NaN NaN NaN NaN NaN NaN 1638717741.627 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 2.05036 NaN NaN NaN NaN NaN NaN NaN NaN 112.087 NaN NaN NaN NaN NaN NaN 1.35088 NaN NaN NaN 1638717771.633 11.2087 NaN 0.0383972 NaN NaN NaN 4 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.308923 1638717801.639 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.128426 NaN NaN NaN NaN NaN NaN NaN NaN NaN 117.789 NaN 0.167901 NaN NaN NaN NaN NaN NaN NaN NaN 1638717831.645 11.7789 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 2.05156 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.48877 NaN NaN NaN 1638717861.651 NaN NaN 0.0383972 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 123.708 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638717891.657 12.3708 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.117522 2.05233 NaN NaN NaN NaN NaN NaN NaN NaN 126.81 NaN 0.133163 NaN NaN NaN NaN 1.59698 NaN NaN NaN 1638717921.663 12.681 NaN 0.0401426 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638717925.72 NaN 44.5226 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 44.5226 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638717933.723 NaN NaN NaN NaN NaN NaN NaN 
-0.130368 -212.5 NaN NaN NaN NaN NaN NaN 14.8685 -0.181655 NaN NaN 131.769 -205.025 NaN NaN NaN NaN NaN NaN 4819.26139652411 -5257.96833319841 NaN 1638717975.739 13.1769 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0421351 2.05302 NaN NaN NaN 43.6249 NaN NaN NaN NaN NaN NaN 0.0665814 NaN NaN NaN NaN 1.91637 NaN NaN NaN 1638718005.744 NaN 41.5394 0.0349066 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 135.045 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718009.749 13.5045 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 138.846 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718051.762 13.8846 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0217728 2.05328 NaN NaN NaN 35.4725 NaN NaN NaN NaN NaN NaN 0.0723711 NaN NaN NaN NaN 1.96524 NaN NaN NaN 1638718067.777 NaN 35.4725 0.0349066 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 143.237 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718097.783 14.3237 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.303687 1638718101.788 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0322488 2.05346 NaN NaN NaN 30.188 NaN NaN NaN NaN 147.584 NaN 0.0289484 NaN NaN NaN NaN 1.84132 NaN NaN NaN 1638718143.8 14.7584 30.188 0.0331613 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 150.314 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718175.784 15.0314 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.284082 2.05388 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.300969 NaN NaN NaN NaN 1.94081 NaN NaN NaN 1638718203.836 NaN 25.1751 0.0401426 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 153.46 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718207.844 15.346 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 156.671 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718239.917 15.6671 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.270091 2.05395 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.271793 NaN NaN NaN NaN 2.00713 NaN NaN NaN 1638718263.936 NaN NaN 0.0418879 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 156.409 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718271.945 15.6409 NaN NaN NaN NaN NaN NaN 
-0.9 187.5 NaN NaN NaN NaN NaN NaN 14.2433 -0.898623 NaN NaN NaN 65.5552 NaN NaN NaN NaN NaN NaN 4819.26199663661 -5257.91487044003 NaN 1638718275.954 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 152.848 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718303.977 15.2848 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0428611 2.05384 NaN NaN NaN NaN NaN NaN NaN NaN 147.606 NaN -0.0434226 NaN NaN NaN NaN 2.30733 NaN NaN NaN 1638718337.99 14.7606 NaN 0.0506145 8.21585 NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 139.174 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718398.001 13.9174 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0793732 2.05303 0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0665814 NaN NaN NaN NaN 2.38761 NaN NaN 0.382227 1638718428.007 NaN NaN 0.0436332 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 131.179 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718458.013 13.1179 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0821594 2.05212 NaN NaN NaN NaN NaN NaN NaN NaN 123.009 NaN -0.0665814 NaN NaN NaN NaN 2.40855 NaN NaN NaN 1638718518.025 12.3009 NaN 0.0453786 NaN NaN NaN 4 
-0.215753 187.5 NaN NaN NaN NaN NaN NaN 14.46 -0.264195 NaN NaN 114.861 188.347 NaN NaN NaN NaN NaN NaN 4819.24234551171 -5257.85145535951 NaN 1638718578.037 11.4861 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0797703 2.05128 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0665814 NaN NaN NaN NaN 2.48011 NaN NaN NaN 1638718608.041 NaN NaN 0.0541052 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 107.238 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718638.047 10.7238 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.105962 2.05022 NaN NaN NaN NaN NaN NaN NaN NaN 99.5488 NaN -0.112899 NaN NaN NaN NaN 2.51851 NaN NaN NaN 1638718698.059 9.95488 NaN 0.0488692 NaN NaN NaN 4 
NaN NaN NaN NaN 0.3491 NaN NaN NaN NaN NaN NaN NaN 91.9252 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.376991 1638718758.072 9.19252 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0698396 2.04929 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.112899 NaN NaN NaN NaN 2.24798 NaN NaN NaN 1638718788.078 NaN NaN 0.0506145 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 84.2579 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718818.083 8.42579 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0347035 2.04885 NaN NaN NaN NaN NaN NaN NaN NaN 76.0883 NaN -0.0492123 NaN NaN NaN NaN 2.09265 NaN NaN NaN 1638718878.095 7.60883 NaN 0.0471239 NaN NaN NaN 4 
-0.215753 187.5 NaN NaN NaN NaN NaN NaN 14.7405 -0.264195 NaN NaN NaN 188.596 NaN NaN NaN NaN NaN NaN 4819.22366969836 -5257.78199552095 NaN 1638718908.101 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 67.8749 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718938.107 6.78749 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0347035 2.04887 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0492123 NaN NaN NaN NaN 1.95477 NaN NaN NaN 1638718968.113 NaN NaN 0.0471239 8.23321 NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 60.5571 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638718998.119 6.05571 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0895959 2.04961 NaN NaN NaN NaN NaN NaN NaN NaN 53.1302 NaN 0.0694762 NaN NaN NaN NaN 1.61617 NaN NaN NaN 1638719058.13 5.31302 NaN 0.0488692 NaN NaN NaN 4 
NaN NaN NaN NaN 0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.363028 1638719088.135 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0704773 2.05022 NaN NaN NaN NaN NaN NaN NaN NaN 46.577 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719118.141 4.6577 NaN NaN NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0723711 NaN NaN NaN NaN 1.8483 NaN NaN NaN 1638719148.147 NaN NaN 0.0575959 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 40.0456 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719178.153 4.00456 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0406582 2.05072 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719208.159 NaN NaN NaN NaN NaN NaN 4 
-0.215753 187.5 NaN NaN NaN NaN NaN NaN 14.8809 -0.262577 NaN NaN 33.4487 189.094 0.0492123 NaN NaN NaN NaN 1.97397 4819.22889323733 -5257.71190533714 NaN 1638719238.165 3.34487 NaN 0.0418879 NaN NaN NaN NaN 
NaN NaN 0.0168105 2.05095 NaN NaN NaN NaN NaN NaN NaN NaN 26.8299 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719298.175 2.68299 NaN NaN NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0173691 NaN NaN NaN NaN 1.89543 NaN NaN NaN 1638719328.181 NaN NaN 0.0418879 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 19.8399 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719358.187 1.98399 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.45 2.05131 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719362.191 NaN NaN NaN NaN NaN NaN 4 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 23.6407 NaN 0.0665814 NaN NaN NaN NaN 1.68424 NaN NaN -0.336849 1638719416.214 2.36407 NaN 0.0628319 NaN NaN NaN NaN 
NaN NaN 0.0826933 2.05177 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719446.22 NaN NaN NaN NaN NaN NaN 4 
